year,ISO_code,region,ef_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation
2017,ALB,Eastern Europe,7.67,7.5,5.1,9.6,8.3,7.8
2017,DZA,Middle East & North Africa,4.77,3.6,4.7,7.3,2.8,5.4
2017,AGO,Sub-Saharan Africa,4.83,6.8,3.0,5.6,3.2,5.7
2017,ARG,Latin America & the Caribbean,5.67,5.7,4.0,6.5,6.5,5.6
2017,ARM,Caucasus & Central Asia,7.7,7.4,5.9,9.5,8.2,7.5
2017,AUS,Oceania,8.07,7.0,7.9,9.5,7.6,8.5
2017,AUT,Western Europe,7.71,5.7,7.9,9.4,8.1,7.5
2017,AZE,Caucasus & Central Asia,6.34,4.8,5.5,6.8,7.3,7.2
2017,BHS,Latin America & the Caribbean,7.25,8.1,6.5,6.9,6.5,8.2
2017,BHR,Middle East & North Africa,7.35,7.0,5.2,9.4,7.4,7.8
2017,BGD,South Asia,6.18,8.2,3.1,7.0,6.0,6.7
2017,BRD,Latin America & the Caribbean,6.45,6.3,5.9,6.2,7.0,7.0
2017,BLR,Eastern Europe,6.64,6.1,5.3,7.4,6.8,7.5
2017,BEL,Western Europe,7.51,4.9,7.1,9.5,8.2,8.0
2017,BLZ,Latin America & the Caribbean,6.78,6.9,5.2,7.2,6.5,8.1
2017,BEN,Sub-Saharan Africa,6.08,7.1,4.2,6.7,6.1,6.4
2017,BTN,South Asia,6.77,6.9,6.4,6.8,6.3,7.5
2017,BOL,Latin America & the Caribbean,6.14,5.9,3.5,9.3,7.0,4.9
2017,BIH,Eastern Europe,6.69,5.6,4.2,8.3,7.8,7.5
2017,BWA,Sub-Saharan Africa,7.37,6.4,5.9,9.3,7.4,7.9
2017,BRA,Latin America & the Caribbean,6.23,5.7,4.5,9.4,7.1,4.4
2017,BRN,South Asia,6.62,3.3,5.3,8.8,7.2,8.5
2017,BGR,Eastern Europe,7.54,7.1,5.3,9.4,8.1,7.7
2017,BFA,Sub-Saharan Africa,6.07,5.7,4.3,7.0,6.5,6.9
2017,BDI,Sub-Saharan Africa,6.17,6.9,3.5,8.2,5.9,6.3
2017,KHM,South Asia,7.44,9.1,4.4,9.3,7.3,7.0
2017,CMR,Sub-Saharan Africa,5.84,6.9,3.2,7.3,5.2,6.6
2017,CAN,North America,8.08,6.5,7.8,9.6,7.9,8.6
2017,CPV,Sub-Saharan Africa,7.16,7.2,6.0,8.3,7.2,7.1
2017,CAF,Sub-Saharan Africa,5.23,6.5,2.7,6.7,4.7,5.5
2017,TCD,Sub-Saharan Africa,5.42,7.4,2.7,6.8,5.2,5.0
2017,CHL,Latin America & the Caribbean,7.89,8.2,6.4,9.5,8.3,7.0
2017,CHN,East Asia,6.42,4.7,5.6,8.5,6.8,6.5
