"datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"2011-07-01 00:00:00",3,0,1,1,27.06,31.06,50,0,20,48,68
"2011-07-01 01:00:00",3,0,1,1,27.06,31.06,50,0,15,16,31
"2011-07-01 02:00:00",3,0,1,1,25.42,30.305,69,0,6,7,13
"2011-07-01 03:00:00",3,0,1,1,26.24,31.06,53,0,5,6,11
"2011-07-01 04:00:00",3,0,1,1,25.42,31.06,57,0,1,5,6
"2011-07-01 05:00:00",3,0,1,1,24.6,30.305,64,8.9981,3,27,30
"2011-07-01 06:00:00",3,0,1,1,25.42,30.305,61,8.9981,11,97,108
"2011-07-01 07:00:00",3,0,1,1,27.06,31.06,54,7.0015,25,218,243
"2011-07-01 08:00:00",3,0,1,1,28.7,31.82,42,11.0014,39,453,492
"2011-07-01 09:00:00",3,0,1,1,30.34,32.575,35,11.0014,58,202,260
"2011-07-01 10:00:00",3,0,1,1,31.16,33.335,33,11.0014,61,109,170
"2011-07-01 11:00:00",3,0,1,1,32.8,34.85,26,0,68,146,214
"2011-07-01 12:00:00",3,0,1,1,32.8,34.85,26,0,83,180,263
"2011-07-01 13:00:00",3,0,1,1,32.8,34.09,24,0,83,209,292
"2011-07-01 14:00:00",3,0,1,1,33.62,34.85,23,12.998,78,225,303
"2011-07-01 15:00:00",3,0,1,1,33.62,34.85,21,16.9979,82,299,381
"2011-07-01 16:00:00",3,0,1,1,33.62,34.85,17,0,85,342,427
"2011-07-01 17:00:00",3,0,1,1,33.62,34.85,21,12.998,99,362,461
"2011-07-01 18:00:00",3,0,1,1,32.8,34.09,24,16.9979,98,324,422
"2011-07-01 19:00:00",3,0,1,1,31.98,33.335,25,12.998,80,238,318
"2011-07-01 20:00:00",3,0,1,1,29.52,32.575,42,15.0013,84,185,269
"2011-07-01 21:00:00",3,0,1,1,28.7,31.82,45,12.998,69,149,218
"2011-07-01 22:00:00",3,0,1,1,28.7,31.82,42,0,49,173,222
"2011-07-01 23:00:00",3,0,1,1,27.88,31.82,47,6.0032,44,96,140
"2011-07-02 00:00:00",3,0,0,1,27.88,31.82,47,6.0032,31,84,115
"2011-07-02 01:00:00",3,0,0,1,27.06,31.06,54,0,20,58,78
"2011-07-02 02:00:00",3,0,0,1,26.24,31.06,53,0,9,43,52
"2011-07-02 03:00:00",3,0,0,1,26.24,31.06,53,0,5,21,26
"2011-07-02 04:00:00",3,0,0,1,25.42,30.305,61,0,3,8,11
"2011-07-02 05:00:00",3,0,0,1,23.78,27.275,73,7.0015,1,13,14
"2011-07-02 06:00:00",3,0,0,1,25.42,30.305,69,7.0015,11,21,32
"2011-07-02 07:00:00",3,0,0,1,26.24,30.305,65,0,10,35,45
"2011-07-02 08:00:00",3,0,0,1,27.88,31.82,57,0,38,94,132
"2011-07-02 09:00:00",3,0,0,1,30.34,33.335,51,6.0032,55,124,179
"2011-07-02 10:00:00",3,0,0,1,32.8,35.605,36,0,103,168,271
"2011-07-02 11:00:00",3,0,0,1,32.8,35.605,36,6.0032,144,213,357
"2011-07-02 12:00:00",3,0,0,1,33.62,35.605,30,8.9981,142,232,374
"2011-07-02 13:00:00",3,0,0,1,33.62,35.605,30,7.0015,178,226,404
"2011-07-02 14:00:00",3,0,0,1,34.44,35.605,20,0,177,215,392
"2011-07-02 15:00:00",3,0,0,1,35.26,36.365,19,11.0014,168,163,331
"2011-07-02 16:00:00",3,0,0,1,36.08,37.12,22,15.0013,206,192,398
"2011-07-02 17:00:00",3,0,0,1,34.44,36.365,30,15.0013,179,170,349
"2011-07-02 18:00:00",3,0,0,1,33.62,35.605,30,19.0012,193,190,383
"2011-07-02 19:00:00",3,0,0,1,32.8,34.85,33,15.0013,156,149,305
"2011-07-02 20:00:00",3,0,0,1,31.16,34.09,45,19.0012,136,148,284
"2011-07-02 21:00:00",3,0,0,1,30.34,33.335,48,12.998,95,137,232
"2011-07-02 22:00:00",3,0,0,1,29.52,33.335,51,11.0014,78,123,201
"2011-07-02 23:00:00",3,0,0,1,29.52,33.335,54,19.0012,66,88,154
"2011-07-03 00:00:00",3,0,0,1,28.7,32.575,58,15.0013,47,97,144
"2011-07-03 01:00:00",3,0,0,2,28.7,32.575,61,11.0014,23,55,78
"2011-07-03 02:00:00",3,0,0,1,28.7,32.575,58,12.998,19,50,69
"2011-07-03 03:00:00",3,0,0,3,27.88,31.82,65,6.0032,8,25,33
"2011-07-03 04:00:00",3,0,0,3,27.88,31.82,65,6.0032,3,2,5
"2011-07-03 05:00:00",3,0,0,3,25.42,28.79,83,12.998,0,1,1
"2011-07-03 06:00:00",3,0,0,2,25.42,27.275,94,6.0032,0,3,3
"2011-07-03 07:00:00",3,0,0,2,26.24,28.79,89,12.998,3,22,25
"2011-07-03 08:00:00",3,0,0,1,27.88,31.82,79,15.0013,39,53,92
"2011-07-03 09:00:00",3,0,0,1,28.7,33.335,74,16.9979,82,99,181
"2011-07-03 10:00:00",3,0,0,1,30.34,34.85,66,11.0014,131,133,264
"2011-07-03 11:00:00",3,0,0,1,31.16,35.605,62,7.0015,215,175,390
"2011-07-03 12:00:00",3,0,0,1,32.8,37.88,55,7.0015,198,206,404
"2011-07-03 13:00:00",3,0,0,1,32.8,38.635,59,15.0013,248,173,421
"2011-07-03 14:00:00",3,0,0,1,33.62,39.395,56,16.9979,225,150,375
"2011-07-03 15:00:00",3,0,0,1,34.44,40.15,53,19.9995,194,182,376
"2011-07-03 16:00:00",3,0,0,1,34.44,40.15,53,19.9995,195,219,414
"2011-07-03 17:00:00",3,0,0,3,32.8,37.12,49,56.9969,181,177,358
"2011-07-03 18:00:00",3,0,0,3,32.8,37.12,49,56.9969,74,107,181
"2011-07-03 19:00:00",3,0,0,2,27.06,30.305,83,12.998,100,83,183
"2011-07-03 20:00:00",3,0,0,3,27.06,30.305,83,0,83,93,176
"2011-07-03 21:00:00",3,0,0,2,27.06,30.305,83,11.0014,75,92,167
"2011-07-03 22:00:00",3,0,0,2,27.06,30.305,78,7.0015,69,93,162
"2011-07-03 23:00:00",3,0,0,1,26.24,28.79,83,11.0014,70,77,147
"2011-07-04 00:00:00",3,1,0,1,26.24,28.79,83,8.9981,63,77,140
"2011-07-04 01:00:00",3,1,0,1,26.24,28.79,83,6.0032,43,76,119
"2011-07-04 02:00:00",3,1,0,1,26.24,28.79,83,0,33,30,63
"2011-07-04 03:00:00",3,1,0,1,26.24,29.545,78,0,13,13,26
"2011-07-04 04:00:00",3,1,0,2,27.06,30.305,78,6.0032,8,4,12
"2011-07-04 05:00:00",3,1,0,2,26.24,28.79,83,8.9981,1,3,4
"2011-07-04 06:00:00",3,1,0,1,26.24,28.79,89,11.0014,5,11,16
"2011-07-04 07:00:00",3,1,0,1,27.06,30.305,83,8.9981,17,19,36
"2011-07-04 08:00:00",3,1,0,1,28.7,33.335,74,7.0015,42,44,86
"2011-07-04 09:00:00",3,1,0,2,29.52,34.09,66,6.0032,142,96,238
"2011-07-04 10:00:00",3,1,0,2,31.16,34.85,55,6.0032,166,114,280
"2011-07-04 11:00:00",3,1,0,2,31.16,34.85,55,6.0032,177,172,349
"2011-07-04 12:00:00",3,1,0,2,31.98,35.605,52,0,237,210,447
"2011-07-04 13:00:00",3,1,0,2,31.98,35.605,49,0,242,181,423
"2011-07-04 14:00:00",3,1,0,1,32.8,36.365,46,0,235,173,408
